entity type,inventory source,inventory path
system,config/f5,chassisSerialNumber
system,config/f5,platform
system,config/f5,product
virtualServer,config/f5,applicationService
virtualServer,config/f5,destination
virtualServer,config/f5,kind
virtualServer,config/f5,maxConnections
virtualServer,config/f5,name
virtualServer,config/f5,pool
poolmember,config/f5,maxConnections
poolmember,config/f5,monitorRule
poolmember,config/f5,nodeName
poolmember,config/f5,poolName
poolmember,config/f5,port
poolmember,config/f5,kind
application,config/f5,deviceGroup
application,config/f5,kind
application,config/f5,name
application,config/f5,template
application,config/f5,templateModified
application,config/f5,trafficGroup
application,config/f5,poolToUse
pool,config/f5,description
pool,config/f5,kind
pool,config/f5,currentLoadMode
pool,config/f5,maxConnections
pool,config/f5,monitorRule
node,config/f5,fqdn
node,config/f5,kind
node,config/f5,address
node,config/f5,maxConnections
node,config/f5,monitorRule
